timestamp,temp,Atypical_Day,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,usage_t-1,usage_t-2,usage_t-3,usage_t-4,usage_t-5,usage_t-6,usage_t-7,usage_t-8,usage_t-9,usage_t-10,usage_t-11,usage_t-12
2017-03-18 18:30:00,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08900000000000001,0.06,0.07200000000000001,0.07200000000000001,0.07200000000000001,0.094,0.13,0.336,0.17800000000000002,0.127,0.20199999999999999,0.152
2017-03-18 19:00:00,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.135,0.08900000000000001,0.06,0.07200000000000001,0.07200000000000001,0.07200000000000001,0.094,0.13,0.336,0.17800000000000002,0.127,0.20199999999999999
2017-03-18 19:30:00,33.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07400000000000001,0.135,0.08900000000000001,0.06,0.07200000000000001,0.07200000000000001,0.07200000000000001,0.094,0.13,0.336,0.17800000000000002,0.127
2017-03-18 20:00:00,33.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.073,0.07400000000000001,0.135,0.08900000000000001,0.06,0.07200000000000001,0.07200000000000001,0.07200000000000001,0.094,0.13,0.336,0.17800000000000002
2017-03-18 20:30:00,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.065,0.073,0.07400000000000001,0.135,0.08900000000000001,0.06,0.07200000000000001,0.07200000000000001,0.07200000000000001,0.094,0.13,0.336
2017-03-18 21:00:00,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.063,0.065,0.073,0.07400000000000001,0.135,0.08900000000000001,0.06,0.07200000000000001,0.07200000000000001,0.07200000000000001,0.094,0.13
2017-03-18 21:30:00,30.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.065,0.063,0.065,0.073,0.07400000000000001,0.135,0.08900000000000001,0.06,0.07200000000000001,0.07200000000000001,0.07200000000000001,0.094
2017-03-18 22:00:00,30.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.135,0.065,0.063,0.065,0.073,0.07400000000000001,0.135,0.08900000000000001,0.06,0.07200000000000001,0.07200000000000001,0.07200000000000001
2017-03-18 22:30:00,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.105,0.135,0.065,0.063,0.065,0.073,0.07400000000000001,0.135,0.08900000000000001,0.06,0.07200000000000001,0.07200000000000001
2017-03-18 23:00:00,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09699999999999999,0.105,0.135,0.065,0.063,0.065,0.073,0.07400000000000001,0.135,0.08900000000000001,0.06,0.07200000000000001
